交易月,交易日,客户满意度
1,1,6.583333333333333
1,2,6.050000000000001
1,3,8.1125
1,4,6.516666666666666
1,5,7.433333333333334
1,6,8.177777777777777
1,7,7.633333333333334
1,8,6.75
1,9,6.1375
1,10,6.066666666666666
1,11,7.1
1,12,6.845454545454545
1,13,6.720000000000001
1,14,7.192307692307692
1,15,6.561538461538461
1,16,6.859999999999999
1,17,6.590909090909093
1,18,7.622222222222222
1,19,7.618749999999999
1,20,6.88
1,21,7.375
1,22,8.614285714285714
1,23,6.970588235294118
1,24,6.423076923076922
1,25,6.8647058823529425
1,26,6.805882352941177
1,27,7.800000000000002
1,28,7.092857142857143
1,29,7.45
1,30,6.066666666666666
1,31,6.957142857142856
2,1,6.8
2,2,7.17142857142857
2,3,6.764285714285714
2,4,8.072727272727274
2,5,7.724999999999999
2,6,7.015384615384617
2,7,7.5699999999999985
2,8,7.375
2,9,5.907692307692309
2,10,7.581818181818182
2,11,6.7124999999999995
2,12,7.25
2,13,6.699999999999999
2,14,6.6
2,15,7.515789473684211
2,16,6.3125
2,17,6.984615384615386
2,18,6.557142857142857
2,19,7.344444444444445
2,20,7.830000000000001
2,21,7.433333333333333
2,22,7.463636363636363
2,23,7.475
2,24,6.0
2,25,6.6812499999999995
2,26,6.066666666666666
2,27,6.999999999999999
2,28,6.8999999999999995
3,1,6.63
3,2,5.938888888888889
3,3,6.971428571428571
3,4,7.525000000000001
3,5,6.723529411764708
3,6,7.209090909090909
3,7,6.988888888888888
3,8,7.618181818181819
3,9,7.28125
3,10,6.675
3,11,6.554545454545454
3,12,7.425000000000001
3,13,6.43
3,14,6.372222222222223
3,15,6.241666666666666
3,16,6.955555555555555
3,17,6.116666666666667
3,18,6.799999999999999
3,19,6.8812500000000005
3,20,6.7799999999999985
3,21,6.6000000000000005
3,22,6.779999999999999
3,23,7.409090909090909
3,24,6.945454545454544
3,25,7.6000000000000005
3,26,6.6230769230769235
3,27,6.76
3,28,7.05
3,29,6.925
3,30,6.8
