发票号,超市,所在城市,客户类型,客户性别,商品类别,单价,购买数量,税额,总价,购买时间,支付方式,销售成本,毛利,客户满意度,交易时间,交易日,交易月,交易年,交易小时,经度,纬度
750-67-8428,A,仰光,会员,女性,健康与美容,74.69,7,26.1415,548.9715,13:08,电子钱包,522.83,26.1415,9.1,2019-01-05,5,1,2019,13,16.8661,96.1951
226-31-3081,C,内比都,非会员,女性,电子配件,15.28,5,3.82,80.22,10:29,现金,76.4,3.82,9.6,2019-03-08,8,3,2019,10,19.7633,96.0785
631-41-3108,A,仰光,非会员,男性,生活家居,46.33,7,16.2155,340.5255,13:23,信用卡,324.31,16.2155,7.4,2019-03-03,3,3,2019,13,16.8661,96.1951
123-19-1176,A,仰光,会员,男性,健康与美容,58.22,8,23.288,489.048,20:33,电子钱包,465.76,23.288,8.4,2019-01-27,27,1,2019,20,16.8661,96.1951
373-73-7910,A,仰光,非会员,男性,运动与旅行,86.31,7,30.2085,634.3785,10:37,电子钱包,604.17,30.2085,5.3,2019-02-08,8,2,2019,10,16.8661,96.1951
699-14-3026,C,内比都,非会员,男性,电子配件,85.39,7,29.8865,627.6165,18:30,电子钱包,597.73,29.8865,4.1,2019-03-25,25,3,2019,18,19.7633,96.0785
355-53-5943,A,仰光,会员,女性,电子配件,68.84,6,20.651999999999997,433.69199999999995,14:36,电子钱包,413.04,20.651999999999997,5.8,2019-02-25,25,2,2019,14,16.8661,96.1951
315-22-5665,C,内比都,非会员,女性,生活家居,73.56,10,36.78,772.38,11:38,电子钱包,735.6,36.78,8.0,2019-02-24,24,2,2019,11,19.7633,96.0785
665-32-9167,A,仰光,会员,女性,健康与美容,36.26,2,3.6260000000000003,76.146,17:15,信用卡,72.52,3.6260000000000003,7.2,2019-01-10,10,1,2019,17,16.8661,96.1951
692-92-5582,B,曼德勒,会员,女性,饮食,54.84,3,8.226,172.74599999999998,13:27,信用卡,164.52,8.226,5.9,2019-02-20,20,2,2019,13,21.9588,96.0891
351-62-0822,B,曼德勒,会员,女性,时尚配饰,14.48,4,2.8960000000000004,60.816,18:07,电子钱包,57.92,2.8960000000000004,4.5,2019-02-06,6,2,2019,18,21.9588,96.0891
529-56-3974,B,曼德勒,会员,男性,电子配件,25.51,4,5.102,107.14200000000001,17:03,现金,102.04,5.102,6.8,2019-03-09,9,3,2019,17,21.9588,96.0891
365-64-0515,A,仰光,非会员,女性,电子配件,46.95,5,11.7375,246.4875,10:25,电子钱包,234.75,11.7375,7.1,2019-02-12,12,2,2019,10,16.8661,96.1951
252-56-2699,A,仰光,非会员,男性,饮食,43.19,10,21.595,453.495,16:48,电子钱包,431.9,21.595,8.2,2019-02-07,7,2,2019,16,16.8661,96.1951
829-34-3910,A,仰光,非会员,女性,健康与美容,71.38,10,35.69,749.49,19:21,现金,713.8,35.69,5.7,2019-03-29,29,3,2019,19,16.8661,96.1951
299-46-1805,B,曼德勒,会员,女性,运动与旅行,93.72,6,28.116,590.436,16:19,现金,562.32,28.116,4.5,2019-01-15,15,1,2019,16,21.9588,96.0891
656-95-9349,A,仰光,会员,女性,健康与美容,68.93,7,24.1255,506.6355,11:03,信用卡,482.51,24.1255,4.6,2019-03-11,11,3,2019,11,16.8661,96.1951
765-26-6951,A,仰光,非会员,男性,运动与旅行,72.61,6,21.783,457.44300000000004,10:39,信用卡,435.66,21.783,6.9,2019-01-01,1,1,2019,10,16.8661,96.1951
329-62-1586,A,仰光,非会员,男性,饮食,54.67,3,8.2005,172.2105,18:00,信用卡,164.01,8.2005,8.6,2019-01-21,21,1,2019,18,16.8661,96.1951
319-50-3348,B,曼德勒,非会员,女性,生活家居,40.3,2,4.03,84.63,15:30,电子钱包,80.6,4.03,4.4,2019-03-11,11,3,2019,15,21.9588,96.0891
300-71-4605,C,内比都,会员,男性,电子配件,86.04,5,21.51,451.71,11:24,电子钱包,430.2,21.51,4.8,2019-02-25,25,2,2019,11,19.7633,96.0785
371-85-5789,B,曼德勒,非会员,男性,健康与美容,87.98,3,13.197000000000001,277.137,10:40,电子钱包,263.94,13.197000000000001,5.1,2019-03-05,5,3,2019,10,21.9588,96.0891
273-16-6619,B,曼德勒,非会员,男性,生活家居,33.2,2,3.32,69.72,12:20,信用卡,66.4,3.32,4.4,2019-03-15,15,3,2019,12,21.9588,96.0891
636-48-8204,A,仰光,非会员,男性,电子配件,34.56,5,8.64,181.44,11:15,电子钱包,172.8,8.64,9.9,2019-02-17,17,2,2019,11,16.8661,96.1951
549-59-1358,A,仰光,会员,男性,运动与旅行,88.63,3,13.2945,279.1845,17:36,电子钱包,265.89,13.2945,6.0,2019-03-02,2,3,2019,17,16.8661,96.1951
227-03-5010,A,仰光,会员,女性,生活家居,52.59,8,21.035999999999998,441.756,19:20,信用卡,420.72,21.035999999999998,8.5,2019-03-22,22,3,2019,19,16.8661,96.1951
649-29-6775,B,曼德勒,非会员,男性,时尚配饰,33.52,1,1.676,35.196,15:31,现金,33.52,1.676,6.7,2019-02-08,8,2,2019,15,21.9588,96.0891
189-17-4241,A,仰光,非会员,女性,时尚配饰,87.67,2,8.767000000000001,184.107,12:17,信用卡,175.34,8.767000000000001,7.7,2019-03-10,10,3,2019,12,16.8661,96.1951
145-94-9061,B,曼德勒,非会员,女性,饮食,88.36,5,22.09,463.89,19:48,现金,441.8,22.09,9.6,2019-01-25,25,1,2019,19,21.9588,96.0891
848-62-7243,A,仰光,非会员,男性,健康与美容,24.89,9,11.2005,235.2105,15:36,现金,224.01,11.2005,7.4,2019-03-15,15,3,2019,15,16.8661,96.1951
871-79-8483,B,曼德勒,非会员,男性,时尚配饰,94.13,5,23.5325,494.1825,19:39,信用卡,470.65,23.5325,4.8,2019-02-25,25,2,2019,19,21.9588,96.0891
149-71-6266,B,曼德勒,会员,男性,运动与旅行,78.07,9,35.1315,737.7615,12:43,现金,702.63,35.1315,4.5,2019-01-28,28,1,2019,12,21.9588,96.0891
640-49-2076,B,曼德勒,非会员,男性,运动与旅行,83.78,8,33.512,703.752,14:49,现金,670.24,33.512,5.1,2019-01-10,10,1,2019,14,21.9588,96.0891
595-11-5460,A,仰光,非会员,男性,健康与美容,96.58,2,9.658,202.81799999999998,10:12,信用卡,193.16,9.658,5.1,2019-03-15,15,3,2019,10,16.8661,96.1951
183-56-6882,C,内比都,会员,女性,饮食,99.42,4,19.884,417.564,10:42,电子钱包,397.68,19.884,7.5,2019-02-06,6,2,2019,10,19.7633,96.0785
232-16-2483,C,内比都,会员,女性,运动与旅行,68.12,1,3.406,71.52600000000001,12:28,电子钱包,68.12,3.406,6.8,2019-01-07,7,1,2019,12,19.7633,96.0785
129-29-8530,A,仰光,会员,男性,运动与旅行,62.62,5,15.655,328.755,19:15,电子钱包,313.1,15.655,7.0,2019-03-10,10,3,2019,19,16.8661,96.1951
272-65-1806,A,仰光,非会员,女性,电子配件,60.88,9,27.396,575.316,17:17,电子钱包,547.92,27.396,4.7,2019-01-15,15,1,2019,17,16.8661,96.1951
333-73-7901,C,内比都,非会员,女性,健康与美容,54.92,8,21.968000000000004,461.32800000000003,13:24,电子钱包,439.36,21.968000000000004,7.6,2019-03-23,23,3,2019,13,19.7633,96.0785
777-82-7220,B,曼德勒,会员,男性,生活家居,30.12,8,12.048,253.00799999999998,13:01,现金,240.96,12.048,7.7,2019-03-03,3,3,2019,13,21.9588,96.0891
280-35-5823,B,曼德勒,会员,女性,生活家居,86.72,1,4.336,91.056,18:45,电子钱包,86.72,4.336,7.9,2019-01-17,17,1,2019,18,21.9588,96.0891
554-53-8700,C,内比都,会员,男性,生活家居,56.11,2,5.611000000000001,117.831,10:11,现金,112.22,5.611000000000001,6.3,2019-02-02,2,2,2019,10,19.7633,96.0785
354-25-5821,B,曼德勒,会员,女性,运动与旅行,69.12,6,20.736,435.45599999999996,13:03,现金,414.72,20.736,5.6,2019-02-08,8,2,2019,13,21.9588,96.0891
228-96-1411,C,内比都,会员,女性,饮食,98.7,8,39.48,829.08,20:39,现金,789.6,39.48,7.6,2019-03-04,4,3,2019,20,19.7633,96.0785
617-15-4209,C,内比都,会员,男性,健康与美容,15.37,2,1.537,32.277,19:47,现金,30.74,1.537,7.2,2019-03-16,16,3,2019,19,19.7633,96.0785
132-32-9879,B,曼德勒,会员,女性,电子配件,93.96,4,18.792,394.63199999999995,18:00,现金,375.84,18.792,9.5,2019-03-09,9,3,2019,18,21.9588,96.0891
370-41-7321,B,曼德勒,会员,男性,健康与美容,56.69,9,25.5105,535.7205,17:24,信用卡,510.21,25.5105,8.4,2019-02-27,27,2,2019,17,21.9588,96.0891
727-46-3608,B,曼德勒,会员,女性,饮食,20.01,9,9.0045,189.0945,15:47,电子钱包,180.09,9.0045,4.1,2019-02-06,6,2,2019,15,21.9588,96.0891
669-54-1719,B,曼德勒,会员,男性,电子配件,18.93,6,5.678999999999999,119.259,12:45,信用卡,113.58,5.678999999999999,8.1,2019-02-10,10,2,2019,12,21.9588,96.0891
574-22-5561,C,内比都,会员,女性,时尚配饰,82.63,10,41.315,867.615,17:08,电子钱包,826.3,41.315,7.9,2019-03-19,19,3,2019,17,19.7633,96.0785
326-78-5178,C,内比都,会员,男性,饮食,91.4,7,31.99,671.79,10:19,现金,639.8,31.99,9.5,2019-02-03,3,2,2019,10,19.7633,96.0785
